Route_of_administration_intramuscular,Route_of_administration_intratracheal,Route_of_administration_intravenous,Model_type_A549,Model_type_BDMC,Model_type_BMDM,Model_type_HBEC_ALI,Model_type_HEK293T,Model_type_HeLa,Model_type_IGROV1,Model_type_Mouse,Model_type_RAW264p7,Cargo_type_mRNA,Cargo_type_pDNA,Cargo_type_siRNA,size,PDI
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,79.34,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,84.32,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,88.76,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,113.8,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,79.83,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,111.5,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,54.76,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,54.15,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,63.45,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,51.34,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,62.75,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,86.95,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,70.15,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,65.95,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,77.01,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,57.81,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,60.52,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,62.05,0.2 ~ 0.3
