smiles,Amine,Encapsulation_Efficiency_EE<50,Encapsulation_Efficiency_50<=EE<80,Encapsulation_Efficiency_80<EE<=100,Delivery_target,Biodistribution_lymph_nodes,Biodistribution_heart,Biodistribution_liver,Biodistribution_spleen,Biodistribution_lung,Biodistribution_kidney,Biodistribution_muscle,quantified_total_luminescence,quantified_delivery,toxic
O=C(NCCCCCCN(CCCCCCCC)CCCCCCCC)[C@H](C)N(CCCCCCCC)CCCCCCCC,ala,1,0,0,body,,,,,,,,,,
O=C(NCCCCCCN(CCCCCCCCCC)CCCCCCCCCC)CN(CCCCCCCCCC)CCCCCCCCCC,gly,1,0,0,body,,,,,,,,,,
O=C(NCCCCCCN(CCCCCCCC)CCCCCCCC)CN(CCCCCCCC)CCCCCCCC,gly,1,0,0,body,,,,,,,,,,
O=C(NCCCN(CCCCCCCC)CCCCCCCC)[C@H](C)N(CCCCCCCC)CCCCCCCC,ala,1,0,0,body,,,,,,,,,,
O=C(CN(CCC(OCCCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCCCC)=O)NCCCN(CCC(OCCCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCCCC)=O,gly,1,0,0,body,,,,,,,,,,
O=C(CN(CCC(OCCCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCCCC)=O)NCCCN(CCC(OCCCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCCCC)=O,gly,1,0,0,body,,,,,,,,,,
O=C(CN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)NCCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC,gly,0,1,0,body,0.0159262664008309,0.00726471746994425,0.0644691443511897,0.0154248397225439,0.0066677809481739,0.00618426236554,0.884062988741777,0.163983867672707,-0.603017421,
O=C(CN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)NCCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC,gly,0,1,0,body,,0.0110768066820314,0.679238145596264,0.289982439081482,0.0151104362851107,0.0045921723551119,,0.0864824917721372,-0.721841755,
O=C(CN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,gly,0,1,0,body,0.0095202572358567,0.00424787112198889,0.0270494802958792,0.0095114706578818,0.0056980958167541,0.0086415994383619,0.935331225433277,0.22281247574214,-0.512821987,
O=C(CN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,gly,0,1,0,body,,0.00577401787332259,0.781123329740865,0.202386288853494,0.0085246401968545,0.0021917233354633,,0.23688698835255,-0.491243085,
CCCCCCCCCCCCCCOC(CCN(CCCCCCNC([C@@H](N(CCC(OCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCC)=O)CO)=O)CCC(OCCCCCCCCCCCCCC)=O)=O,ser,1,0,0,body,,,,,,,,,,
CCCCCCCCCCCCCCOC(CCN(CCCCCCNC([C@@H](N(CCC(OCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCC)=O)CO)=O)CCC(OCCCCCCCCCCCCCC)=O)=O,ser,1,0,0,body,,,,,,,,,,
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,0,1,body,0.0307690543253117,0.000803846893528031,0.0032737589094385,0.0044030987476096,0.0013150668142097,0.0034119842856148,0.956023190024287,1.14370500641117,0.89908123,
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,0,1,body,,0.0103006057269574,0.229208194092422,0.735779643429865,0.0182228400970524,0.0064887166537026,,0.146101132843469,-0.630435051,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,0.0030570409781513,0.00100491779320209,0.0165773259574103,0.0117710271412967,0.002086971298565,0.0028725221743147,0.96263019465706,1,0.678754151,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,,0.00330040832612047,0.545398801975274,0.446192251044312,0.0032378252821489,0.0018707133721438,,1,0.678754151,0.0
O=C(CN(CCC(OCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCC)=O)NCCCN(CCC(OCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCC)=O,gly,1,0,0,body,,,,,,,,,,
CCCCCCCCCCCCOC(CCN([C@H](C(NCCCN(CCC(OCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCC)=O)=O)CO)CCC(OCCCCCCCCCCCC)=O)=O,ser,1,0,0,body,,,,,,,,,,
CCCCCCCCCCCCCCOC(CCN([C@H](C(NCCCN(CCC(OCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCC)=O)=O)CO)CCC(OCCCCCCCCCCCCCC)=O)=O,ser,0,1,0,body,,,,,,,,,,
O=C(CCN(CCCCCCNC([C@@H](N(CCC(OCCCCCCCC)=O)CCC(OCCCCCCCC)=O)CO)=O)CCC(OCCCCCCCC)=O)OCCCCCCCC,ser,0,1,0,body,,,,,,,,,,
CCCCCCCCCCCCOC(CCN([C@H](C(NCCCCCCN(CCC(OCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCC)=O)=O)CO)CCC(OCCCCCCCCCCCC)=O)=O,ser,1,0,0,body,,,,,,,,,,
O=C(CN(CCC(OCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCC)=O)NCCCN(CCC(OCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCC)=O,gly,1,0,0,body,,,,,,,,,,
